NOME_EMPRESARIAL;INICIO_ATIVIDADE;DATA_EXPIRACAO;BAIRRO
(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO ;04/02/2014;;CACHOEIRA
(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;14/12/2012;;CIDADE INDUSTRIAL
+55 ADMINISTRADORA DE BENS LTDA.;24/03/2016;;SAO LOURENCO
-SUELI DE FATIMA OLIVEIRA-;19/08/2019;;CIDADE INDUSTRIAL
0 STELLA SERVICOS E COMERCIO DE CARIMBOS;24/04/2003;;BUTIATUVINHA
0 SILVA & ANTUNES LTDA;01/08/2001;;FANNY
001 PERFUMES E INFORMATICA LTDA;03/12/2010;;BIGORRILHO
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/04/2012;;MOSSUNGUE
007 INFORMATICA LTDA ME;30/03/2012;;SANTA CÂNDIDA
007 TRANSPORTE RODOVIARIO LTDA;07/06/1999;31/12/2002;CENTRO
01 TECNOLOGIA DA INFORMACAO LTDA. ME;12/01/2012;;AGUA VERDE
041 CAFE BAR E RESTAURANTE LTDA;01/09/1998;31/12/2001;BATEL
041 CINE/VIDEO LTDA;18/03/1998;;TARUMA
041 CONTABILIDADE LTDA;10/07/2018;;BOQUEIRAO
0K DESENVOLVIMENTO DE SOFTWARE LTDA;13/03/2018;;CENTRO
0SCAR ANTONIO GALVAN;07/10/2011;;GANCHINHO
1 A CLASSE-AGENCIA DE VIAGEM E TURISMO LTDA;01/04/2001;;PORTAO
1 CAMARA DE ARBITRAGEM, MEDIACAO E CONCILIACAO SOC;21/07/2016;31/12/2017;BOA VISTA
1 M COMERCIO DE ROUPAS E ARTIGOS DE COURO LTDA;22/04/1998;;CENTRO CIVICO
1 OFICIO DE DISTRIBUIDOR DO FORO CENTRAL DA COMARC;29/12/1980;;ALTO DA GLORIA
1 OPCAO CALCADOS E SEMI JOIAS LTDA - ME;03/08/2012;;CAJURU
1 SERVICO DE REGISTRO DE IMOVEIS DO FORO CENTRAL D;06/12/1988;;CENTRO
1.000 ADMINISTRADORA DE NEGOCIOS - EIRELI;15/04/2016;;ALTO DA RUA XV
1.7 REPRESENTACOES COMERCIAIS LTDA. - ME;10/04/2017;;PORTAO
1/4 DE ANJO DECORACOES E ARTIGOS INFANTIS LTDA;01/09/2001;31/12/2008;BATEL
1ª IGREJA BATISTA RENOVADA - MINISTERIO MISSAO DE ;07/07/2014;;FAZENDINHA
10 ADMINISTRADORA DE BENS LTDA;05/04/2013;;AGUA VERDE
10 DOCES BOMBONIERE LTDA - ME;16/03/2017;;BACACHERI
10 DOCES BOMBONIERE LTDA - ME;21/07/2017;;JARDIM DAS AMERICAS
10+ SOLUCOES EMPRESARIAIS EIRELI;29/03/2018;;CENTRO
100 BEER COMERCIO DE ALIMENTOS E BEBIDAS EIRELI;07/05/2019;22/07/2019;TARUMA
100 FREIOS-SERV COM FREIOS LTDA;01/10/1989;;PAROLIN
100 NOCAO FUT 7;13/09/2017;;XAXIM
100 POR CENTO CARNES E CHURRASCO LTDA;18/02/2010;31/12/2010;AGUA VERDE
100 RUIDO TRATAMENTO ACUSTICO AUTOMOTIVO LTDA -ME;20/09/2007;31/12/2009;CENTRO
100% FRUTA COMERCIO DE SORVETES - EIRELI - ME;14/08/2015;;REBOUCAS
100% AREA DE LAZER COMERCIO DE MATERIAIS ESPORTIVO;03/01/2014;;REBOUCAS
100% FRUTA COMERCIO DE SORVETES LTDA - ME;03/03/2017;12/01/2018;REBOUCAS
1000 CAR COMERCIO DE VEICULOS LTDA;01/04/1999;;NOVO MUNDO
1000 MARCAS SUL EQUIPAMENTOS DE SEGURANCA LTDA - M;23/01/2007;;CIDADE INDUSTRIAL
1000 PROJETOS - GESTAO EMPRESARIAL EIRELI;25/06/2019;;BATEL
1000SEGUROS CORRETORA DE SEGUROS LTDA - ME;10/02/2015;;UMBARA
1001 EVENTOS E TURISMO LTDA;01/09/2006;;PILARZINHO
1001 LOJAS - EIRELI - ME;22/04/2008;;CENTRO
1001 MATERIAIS DE CONSTRUCAO LTDA-EPP;06/02/1997;;CAPAO DA IMBUIA
1001 SERVICOS DE INSTALACOES ELETRICAS E DE TELEFO;17/02/2003;;AGUA VERDE
1003 - EXPORTADORA E IMPORTADORA DE PRODUTOS MANUF;03/04/1991;;CENTRO
1005-COMERCIO DE CONFECCOES LTDA;01/04/1994;;ALTO DA GLORIA
100PRE PRODUCAO DE VIDEOS LTDA;28/11/2005;;AHÚ
100TEMPO ENTREGAS RAPIDAS LTDA;24/11/2006;;CAPAO DA IMBUIA
100TRAL SERVICOS DE INTERMEDIACOES DE CONSORCIOS E;04/10/2017;;BACACHERI
100TRAN CENTRO DE FORMACAO DE CONDUTORES EIRELI -;29/04/1998;16/05/2015;CENTRO
103 ENGENHARIA E CONSULTORIA S/C LTDA;01/02/1998;;CENTRO
