NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO ;04/02/2014;1169609;(MPDS) MEIO AMBIENTE, PESSOAS E O DESENVOLVIMENTO;26/02/2014;***;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SO;***;***;R. JOSÉ WALDEMAR BARON;239;***;***;***;CACHOEIRA;82710190
(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;14/12/2012;1119982;(RBDS) NO RASTRO DA BIODIVERSIDADE E DO DESENVOLVI;18/02/2013;***;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SO;***;***;R. DIONIZIO MARKOVICZ;155;***;***;***;CIDADE INDUSTRIAL;81240160
+55 ADMINISTRADORA DE BENS LTDA.;24/03/2016;1351366;+55 ADMINISTRADORA DE BENS LTDA.;20/12/2017;***;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;LOTEAMENTO DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;R. EVALDO WENDLER;90;CS68;***;***;SÃO LOURENÇO;82200180
-SUELI DE FATIMA OLIVEIRA-;19/08/2019;1450204;***;19/08/2019;***;GARÇOM;***;***;R. MARIA HOMAN WISNIEWSKI;850;1;TR;***;CIDADE INDUSTRIAL;81270100
0 STELLA SERVICOS E COMERCIO DE CARIMBOS;24/04/2003;969243;***;01/12/2010;***;COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA;SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNA;SERVIÇOS DE GRAVAÇÃO DE CARIMBOS, EXCETO CONFECÇÃO;R. MANOEL SILVÉRIO DOS SANTOS;609;***;***;***;BUTIATUVINHA;82400200
0 SILVA & ANTUNES LTDA;01/08/2001;964466;0 SILVA & ANTUNES LTDA;01/12/2010;***;ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILARES;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GER;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;R. HASSIB JEZZINI;440;1;***;TR;FANNY;81030360
001 PERFUMES E INFORMATICA LTDA;03/12/2010;1066409;001 PERFUMES E INFORMATICA LTDA;11/05/2012;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS D;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMÉSTICOS NÃ;R. PADRE ANCHIETA;1995;1801;18;***;BIGORRILHO;80730000
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/04/2012;1267511;001SHOP LTDA;03/05/2016;***;TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APL;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;***;R. JOSÉ ALEXANDRINO;30;***;***;CASA 04;MOSSUNGUÊ;81210050
007 INFORMATICA LTDA ME;30/03/2012;1068718;007 INFORMATICA;30/05/2012;***;SALAS DE ACESSO À INTERNET;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPA;EST. DE SANTA CÂNDIDA;941;***;***;***;SANTA CÂNDIDA;82630490
007 TRANSPORTE RODOVIARIO LTDA;07/06/1999;484163;007 TRANSPORTE RODOVIARIO LTDA;14/09/1999;31/12/2002;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;***;***;R. TREZE DE MAIO;336;61;6;AD;CENTRO;80020270
